VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_duration,normalized_distance,weather,zone
1,2015-01-18 18:50:19,2015-01-18 18:57:36,1,1.2,-73.97721099853516,40.7847785949707,1,N,-73.98921203613281,40.77347946166992,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3,437.0,-0.0012455866068056,Clear,Otra
2,2015-01-05 15:37:07,2015-01-05 15:48:33,1,1.45,-73.9696044921875,40.76337432861328,1,N,-73.95703125,40.78063583374024,1,9.0,0.0,0.5,1.0,0.0,0.3,10.8,686.0,-0.0012202010628216,Clear,Otra
2,2015-01-29 15:13:44,2015-01-29 15:30:39,1,1.82,-73.94790649414062,40.77481460571289,1,N,-73.9657974243164,40.75797271728516,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8,1015.0,-0.0011826304577254,Clear,Otra
1,2015-01-01 07:25:11,2015-01-01 07:49:20,1,17.3,-73.9817886352539,40.73661804199219,2,N,-73.77642822265625,40.645332336425774,2,52.0,0.0,0.5,0.0,5.33,0.0,58.13,1449.0,0.0003892424257599,Clear,Otra
2,2015-01-12 10:10:55,2015-01-12 10:36:37,1,3.28,-73.98674011230467,40.73385620117188,1,N,-73.98899078369139,40.768753051757805,1,17.5,0.0,0.5,4.38,0.0,0.3,22.68,1542.0,-0.0010343788808592,Clear,Otra
2,2015-01-09 22:43:07,2015-01-09 22:46:04,1,0.72,-73.95346069335938,40.77265167236328,1,N,-73.94707489013672,40.78010177612305,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8,177.0,-0.0012943268512547,Clear,Otra
2,2015-01-18 00:30:01,2015-01-18 00:37:13,6,1.28,-73.99103546142578,40.73408889770508,1,N,-74.00772094726561,40.73191452026367,1,6.5,0.5,0.5,1.4,0.0,0.3,9.2,432.0,-0.0012374632327307,Clear,Otra
1,2015-01-26 14:22:56,2015-01-26 14:31:03,1,0.7,-73.96995544433594,40.75348663330078,1,N,-73.97122955322266,40.745304107666016,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75,487.0,-0.0012963576947734,Clear,Otra
1,2015-01-31 17:59:22,2015-01-31 18:05:39,1,0.7,-73.98240661621094,40.768360137939446,1,N,-73.97840881347656,40.7632293701172,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8,377.0,-0.0012963576947734,Clear,Midtown Manhattan
2,2015-01-06 18:20:43,2015-01-06 18:24:56,1,0.79,-73.97476196289062,40.74198532104492,1,N,-73.98298645019531,40.74877166748047,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8,253.0,-0.0012872188989392,Clear,Otra
1,2015-01-03 00:45:48,2015-01-03 00:53:32,1,1.4,-73.98885345458984,40.756717681884766,1,N,-73.96847534179686,40.75642013549805,2,7.5,0.5,0.5,0.0,0.0,0.0,8.8,464.0,-0.0012252781716184,Clear,Midtown Manhattan
1,2015-01-21 19:20:56,2015-01-21 19:25:39,1,0.8,0.0,0.0,1,N,0.0,0.0,1,5.5,1.0,0.5,1.45,0.0,0.3,8.75,283.0,-0.0012862034771799,Clear,Otra
2,2015-01-24 09:41:50,2015-01-24 09:50:38,1,1.69,-73.98014068603516,40.77569961547852,1,N,-73.99208068847656,40.754878997802734,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0,528.0,-0.001195830940597,Clear,Otra
